Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S89307760,Canada Goose,Branta canadensis,303,4,CA-ON,York,L1521305,Koffler Scientific Reserve,44.0306688,-79.5319375,2021-05-30,06:24 PM,eBird - Casual Observation,,0,,,1
S74471953,Mute Swan,Cygnus olor,337,2,CA-ON,Northumberland,L351706,Presqu'ile Provincial Park (general location),43.9942,-77.71059,2020-10-05,01:00 PM,eBird - Casual Observation,,0,,,1
S59586350,Mute Swan,Cygnus olor,337,5,CA-ON,Toronto,L351715,Tommy Thompson Park,43.6276706,-79.3315839,2019-09-07,08:00 AM,eBird - Traveling Count,360,1,6.437,,20,,,TOC-led walk
S60490567,Mute Swan,Cygnus olor,337,7,CA-ON,Toronto,L351715,Tommy Thompson Park,43.6276706,-79.3315839,2019-10-08,08:20 AM,eBird - Traveling Count,480,1,8.,,2
S57062733,Mute Swan,Cygnus olor,337,X,CA-ON,Toronto,L285222,Toronto--Ashbridge's Bay Park,43.6599861,-79.3093553,2019-06-03,01:30 PM,eBird - Traveling Count,150,1,3.219,,1
S58859604,Mute Swan,Cygnus olor,337,6,CA-ON,Toronto,L285222,Toronto--Ashbridge's Bay Park,43.6599861,-79.3093553,2019-08-09,08:15 AM,eBird - Traveling Count,180,1,3.219,,1
S58969165,Mute Swan,Cygnus olor,337,X,CA-ON,Toronto,L285222,Toronto--Ashbridge's Bay Park,43.6599861,-79.3093553,2019-08-13,09:30 AM,eBird - Traveling Count,120,1,3.219,,1
S75937267,Mute Swan,Cygnus olor,337,2,CA-ON,Toronto,L285222,Toronto--Ashbridge's Bay Park,43.6599861,-79.3093553,2020-11-07,09:17 AM,eBird - Traveling Count,111,1,3.268,,1
S50975340,Mute Swan,Cygnus olor,337,X,CA-ON,Toronto,L421884,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,2018-12-26,10:30 AM,eBird - Traveling Count,120,1,3.219,,4
S57761792,Mute Swan,Cygnus olor,337,X,CA-ON,Toronto,L421884,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,2019-06-28,10:00 AM,eBird - Traveling Count,150,1,3.219,,1
S59007756,Mute Swan,Cygnus olor,337,4,CA-ON,Toronto,L421884,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,2019-08-15,08:15 AM,eBird - Traveling Count,120,1,3.219,,1
S87492026,Mute Swan,Cygnus olor,337,1,CA-ON,Toronto,L421884,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,2021-05-08,09:16 AM,eBird - Traveling Count,352,1,1.33,,3
S97832380,Mute Swan,Cygnus olor,337,3,CA-ON,Toronto,L421884,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,2021-11-20,10:40 AM,eBird - Traveling Count,117,1,2.44,,3
S58371856,Mute Swan,Cygnus olor,337,X,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2019-07-22,09:55 AM,eBird - Traveling Count,120,1,4.828,,1
